City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Pisco,PE,2022-01-29 12:14:59,-13.7,-76.2167,68.05,77,75,1.14
172,Asau,RO,2022-01-29 12:14:59,46.4333,26.4,36.75,59,82,6.82
173,Port Townsend,US,2022-01-29 12:15:00,48.117,-122.7605,40.5,92,89,1.99
174,Bandarbeyla,SO,2022-01-29 12:15:00,9.4942,50.8122,79.72,55,79,21.0
175,Chimbote,PE,2022-01-29 12:15:01,-9.0853,-78.5783,69.1,85,99,4.47
176,Saint-Pierre,RE,2022-01-29 12:15:01,-21.3393,55.4781,85.68,70,75,16.11
177,Svetlyy,RU,2022-01-29 12:15:01,54.675,20.1347,35.65,93,100,21.34
178,Muscat,OM,2022-01-29 12:15:02,23.6139,58.5922,77.02,60,3,8.32
179,Pacific Grove,US,2022-01-29 12:11:04,36.6177,-121.9166,54.63,46,0,1.99
180,Cuitlahuac,MX,2022-01-29 12:15:03,18.8167,-96.7167,64.06,87,100,2.82
181,Turayf,SA,2022-01-29 12:15:03,31.6725,38.6637,52.05,58,40,6.91
182,Beringovskiy,RU,2022-01-29 12:15:03,63.05,179.3167,-7.35,100,100,4.09
183,Gillette,US,2022-01-29 12:15:04,44.2911,-105.5022,32.86,41,0,1.99
184,Kieta,PG,2022-01-29 12:15:04,-6.2167,155.6333,80.04,83,89,1.9
185,Biscarrosse,FR,2022-01-29 12:15:05,44.3945,-1.1672,53.35,93,100,8.05
186,Moshkovo,RU,2022-01-29 12:15:05,55.3053,83.6104,7.32,99,68,4.72
187,Jamestown,US,2022-01-29 12:12:31,42.097,-79.2353,8.33,85,100,10.36
188,Ribeira Grande,PT,2022-01-29 12:15:06,38.5167,-28.7,63.0,59,20,11.5
189,Creetown,GB,2022-01-29 12:16:06,54.9015,-4.3792,48.16,74,72,25.75
190,La Ronge,CA,2022-01-29 12:16:07,55.1001,-105.2842,10.65,85,100,5.75
191,Mahebourg,MU,2022-01-29 12:16:07,-20.4081,57.7,87.26,74,75,10.36
192,Gat,IL,2022-01-29 12:16:08,31.61,34.7642,56.91,6,42,8.99
193,Coihaique,CL,2022-01-29 12:16:08,-45.5752,-72.0662,59.61,51,0,4.61
194,Saint George,US,2022-01-29 12:15:41,37.1041,-113.5841,41.34,43,0,3.44
195,Barranca,PE,2022-01-29 12:16:08,-10.75,-77.7667,68.92,84,100,6.29
196,Zelenoborsk,RU,2022-01-29 12:16:09,61.4669,64.0333,1.04,97,62,4.52
197,Upernavik,GL,2022-01-29 12:16:09,72.7868,-56.1549,13.5,82,100,21.34
198,Longyearbyen,SJ,2022-01-29 12:16:10,78.2186,15.6401,10.24,61,0,17.27
199,Maniitsoq,GL,2022-01-29 12:16:10,65.4167,-52.9,10.54,82,100,17.76
200,Isangel,VU,2022-01-29 12:16:11,-19.55,169.2667,78.22,91,100,15.99
201,York,US,2022-01-29 12:15:16,40.1254,-77.0,19.18,53,40,8.05
202,Veraval,IN,2022-01-29 12:16:11,20.9,70.3667,76.01,42,0,8.43
203,Zaterechnyy,RU,2022-01-29 12:16:12,44.7931,45.2097,41.65,53,39,9.86
204,Luena,AO,2022-01-29 12:16:12,-11.7833,19.9167,77.23,58,100,7.87
205,Tiksi,RU,2022-01-29 12:16:13,71.6872,128.8694,-8.61,100,34,5.26
206,Kudahuvadhoo,MV,2022-01-29 12:16:13,2.6708,72.8944,81.61,65,49,8.41
207,Kriva Palanka,MK,2022-01-29 12:16:13,42.2019,22.3319,36.0,64,60,6.55
208,Kangaba,ML,2022-01-29 12:16:14,11.9333,-8.4167,94.95,9,27,8.7
209,Salinopolis,BR,2022-01-29 12:16:14,-0.6136,-47.3561,75.16,89,100,12.95
210,Lebu,CL,2022-01-29 12:16:14,-37.6167,-73.65,58.84,86,5,2.84
211,Nikolskoye,RU,2022-01-29 12:16:15,59.7035,30.7861,26.49,95,70,3.27
212,Fukue,JP,2022-01-29 12:16:15,32.6881,128.8419,46.26,55,96,15.86
213,Airai,TL,2022-01-29 12:16:16,-8.9266,125.4092,61.41,88,94,3.27
214,Edgewater,US,2022-01-29 12:16:16,28.9889,-80.9023,44.01,48,20,16.11
215,Uray,RU,2022-01-29 12:16:17,60.1247,64.7758,7.74,97,100,3.51
216,Casma,CL,2022-01-29 12:16:17,-41.0082,-73.1244,53.24,64,0,0.69
217,Hambantota,LK,2022-01-29 12:16:18,6.1241,81.1185,81.21,77,90,10.69
218,Port Augusta,AU,2022-01-29 12:16:18,-32.5,137.7667,85.71,56,10,18.88
