City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
368,Rio Grande,BR,73.85,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
372,Cukai,MY,77.14,scattered clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
375,Kahului,US,83.46,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
380,Bairiki,KI,84.2,light rain,1.3292,172.9752,Tarawa Boutique Hotel
382,Denpasar,ID,83.86,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
384,Amahai,ID,84.99,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
386,Loandjili,CG,78.46,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
387,Puerto Escondido,MX,79.63,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
391,Galesong,ID,78.82,overcast clouds,-5.3166,119.3661,Sapriadi Appy
394,Belmonte,BR,81.1,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
397,Poum,NC,80.15,clear sky,-20.2333,164.0167,Gîte kajeon
398,Banda Aceh,ID,78.6,few clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
403,Kingston,JM,77.95,few clouds,17.997,-76.7936,The Jamaica Pegasus Hotel
405,Isangel,VU,87.91,broken clouds,-19.55,169.2667,Tanna Lodge
409,Kieta,PG,84.45,light rain,-6.2167,155.6333,Uruna Bay Retreat
412,Mattru,SL,71.87,broken clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
413,Brokopondo,SR,75.87,overcast clouds,4.75,-55.1667,Matu Island
415,Flinders,AU,73.8,broken clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
416,Mamallapuram,IN,76.05,scattered clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
417,Candido Mendes,BR,74.75,overcast clouds,-1.4467,-45.7167,Quebrada Do Mlk PJL
422,Alta Floresta,BR,72.12,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
423,Fuerte,PH,83.1,clear sky,17.5381,120.3644,Giordion Inn
425,Namibe,AO,71.64,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
427,Bubaque,GW,77.81,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
429,Bensonville,LR,76.55,few clouds,6.4461,-10.6125,Moinga
432,Kintampo,GH,75.06,few clouds,8.0563,-1.7306,Adomaa Memorial Hotel
436,Sola,VU,81.57,overcast clouds,-13.8833,167.55,Leumerus Bungalows
439,Ambulu,ID,80.35,clear sky,-8.345,113.6058,Hotel Ambulu Jember
440,San Isidro,PE,76.01,clear sky,-12.1167,-77.05,Radisson Hotel Decapolis Miraflores
447,Ballina,AU,73.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
449,Cam Ranh,VN,76.96,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
453,Bonthe,SL,76.59,few clouds,7.5264,-12.505,Bonthe Holiday Village
456,Sulangan,PH,80.4,overcast clouds,11.1373,123.7228,Maia's Beach Resort
457,Boyolangu,ID,80.31,few clouds,-8.1181,111.8935,Yos ega cv
462,Morondava,MG,78.66,light rain,-20.2833,44.2833,La Case Bambou
464,Grand-Lahou,CI,78.58,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
466,Mankono,CI,70.43,clear sky,8.0586,-6.1897,Hôtel cotonputeur
467,Natal,BR,82.62,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
470,Maningrida,AU,82.69,overcast clouds,-12.0667,134.2667,Dhukurrdji Lodge
471,Almeirim,BR,75.79,overcast clouds,-1.5233,-52.5817,Ricácio Hotel
481,Payo,ID,76.08,overcast clouds,-3.7508,103.6372,Mess keban agung
483,Champerico,GT,81.36,clear sky,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
486,Linguere,SN,77.49,overcast clouds,15.3953,-15.1193,AYO Casablanca
489,Mozarlandia,BR,74.21,overcast clouds,-14.7447,-50.5706,Hotel Santa Mônica
491,Praya,CV,70.95,clear sky,14.9215,-23.5087,LT Aparthotel
493,Kudahuvadhoo,MV,81.52,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
494,Santa Fe,AR,79.92,overcast clouds,-31.6333,-60.7,Conquistador Hotel
496,Auki,SB,79.92,overcast clouds,-8.7676,160.7034,Auki Motel
498,Luanda,AO,75.2,scattered clouds,-8.8368,13.2343,EPIC SANA Luanda
504,Banjar,ID,84.06,few clouds,-8.19,114.9675,The Hamsa Resort
514,Manggar,ID,81.91,overcast clouds,-2.8833,108.2667,Guest Hotel
515,Athenree,NZ,80.8,overcast clouds,-37.4667,175.9167,Athenree Beach House
516,Fare,PF,81.19,few clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
519,Makakilo City,US,79.61,overcast clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
520,Quatre Cocos,MU,78.91,moderate rain,-20.2078,57.7625,Sunrise Attitude Hotel
525,Kandrian,PG,79.0,overcast clouds,-6.2167,149.55,Kandrian Station
529,Eyl,SO,72.41,few clouds,7.9803,49.8164,Amiin Hotel
531,Male,MV,81.45,clear sky,4.1748,73.5089,Hotel Octave Maldives
532,Swan Hill,AU,70.54,clear sky,-35.3378,143.5544,Lazy River Motor Inn
534,Takoradi,GH,78.96,broken clouds,4.8845,-1.7554,Raybow International Hotel
535,Soyo,AO,76.91,overcast clouds,-6.1349,12.3689,Hotel Mpampa
538,San Lorenzo,PY,90.59,few clouds,-25.3333,-57.5333,Canarias Hotel
